"Ukazatel","IndicatorType","Území","Uz0","Měsíce","CasM","Hodnota"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2013","2013-01","46.732"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2013","2013-02","47.186"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2013","2013-03","46.807"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2013","2013-04","47.001"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2013","2013-05","45.48335"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2013","2013-06","45.715"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2013","2013-07","44.806"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2013","2013-08","44.743"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2013","2013-09","44.671"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2013","2013-10","44.162"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2013","2013-11","44.213"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2013","2013-12","44.681"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2014","2014-01","44.996"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2014","2014-02","45.347"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2014","2014-03","45.949"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2014","2014-04","46.267"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2014","2014-05","46.089"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2014","2014-06","45.934"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2014","2014-07","46.099"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2014","2014-08","46.103"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2014","2014-09","46.094"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2014","2014-10","45.87"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2014","2014-11","46.021"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2014","2014-12","45.973"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2015","2015-01","46.449"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2015","2015-02","46.943"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2015","2015-03","46.883"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2015","2015-04","47.676"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2015","2015-05","47.542"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2015","2015-06","47.126"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2015","2015-07","47.358"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2015","2015-08","47.449"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2015","2015-09","46.655"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2015","2015-10","46.619"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2015","2015-11","46.969"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2015","2015-12","47.08"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2016","2016-01","46.703"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2016","2016-02","46.882"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2016","2016-03","47.157"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2016","2016-04","46.842"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2016","2016-05","46.594"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2016","2016-06","46.94"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2016","2016-07","46.814"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2016","2016-08","47.029"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2016","2016-09","46.885"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2016","2016-10","46.931"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2016","2016-11","47.124"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2016","2016-12","47.49"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2017","2017-01","47.254"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2017","2017-02","46.908"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2017","2017-03","47.096"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2017","2017-04","47.287"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2017","2017-05","47.355"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2017","2017-06","47.669"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2017","2017-07","47.569"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2017","2017-08","47.691"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2017","2017-09","48.043"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2017","2017-10","47.635"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2017","2017-11","47.589"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2017","2017-12","47.609"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2018","2018-01","47.938"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2018","2018-02","47.509"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2018","2018-03","48.117"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2018","2018-04","48.01"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2018","2018-05","47.976"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2018","2018-06","48.031"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2018","2018-07","48.102"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2018","2018-08","47.195"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2018","2018-09","46.83"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2018","2018-10","46.21"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2018","2018-11","46.387"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2018","2018-12","46.007"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2019","2019-01","46.643"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2019","2019-02","46.687"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2019","2019-03","46.365"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2019","2019-04","46.399"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2019","2019-05","46.365"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2019","2019-06","46.175"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2019","2019-07","45.993"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2019","2019-08","45.76"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2019","2019-09","45.724"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2019","2019-10","45.729"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2019","2019-11","46.121"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2019","2019-12","45.855"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2020","2020-01","45.626"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2020","2020-02","46.27"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2020","2020-03","45.861"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2020","2020-04","46.022"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2020","2020-05","44.927"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2020","2020-06","44.997"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2020","2020-07","45.186"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2020","2020-08","44.759"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2020","2020-09","45.26"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2020","2020-10","45.334"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2020","2020-11","45.195"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2020","2020-12","45.114"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2021","2021-01","45.54"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2021","2021-02","45.615"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2021","2021-03","45.903"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2021","2021-04","46.217"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2021","2021-05","46.218"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2021","2021-06","46.141"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2021","2021-07","46.701"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2021","2021-08","46.829"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2021","2021-09","47.248"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2021","2021-10","47.574"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2021","2021-11","48.452"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2021","2021-12","49.631"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2022","2022-01","49.8"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2022","2022-02","51.56"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2022","2022-03","53.39"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2022","2022-04","56.44"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2022","2022-05","57.93"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2022","2022-06","58.09"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2022","2022-07","56.91"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2022","2022-08","57.28"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2022","2022-09","57.78"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2022","2022-10","57.87"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2022","2022-11","57.71"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2022","2022-12","57.98"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2023","2023-01","57.87"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2023","2023-02","58.26"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2023","2023-03","58.3"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2023","2023-04","58.11"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2023","2023-05","58.17"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2023","2023-06","57.95"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2023","2023-07","57.13"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2023","2023-08","56.79"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2023","2023-09","57.02"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2023","2023-10","56.59"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2023","2023-11","57.14"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2023","2023-12","57.76"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2024","2024-01","58.45"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2024","2024-02","59.17"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2024","2024-03","60.56"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2024","2024-04","62.14"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2024","2024-05","62.23"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2024","2024-06","63.29"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2024","2024-07","62.77"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2024","2024-08","62.98"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2024","2024-09","62.91"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2024","2024-10","62.9"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2024","2024-11","64.57"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2024","2024-12","64.13"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2025","2025-01","66.51"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2025","2025-02","68.98"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2025","2025-03","72.68"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2025","2025-04","75.49"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2025","2025-05","75.61"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2025","2025-06","79.91"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2025","2025-07","81.72"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2025","2025-08","83.72"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2025","2025-09","85.17"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2025","2025-10","87.22"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2013","2013-01","86.488"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2013","2013-02","86.587"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2013","2013-03","85.903"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2013","2013-04","85.295"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2013","2013-05","84.829"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2013","2013-06","84.324"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2013","2013-07","83.127"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2013","2013-08","81.703"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2013","2013-09","81.583"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2013","2013-10","80.566"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2013","2013-11","80.685"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2013","2013-12","81.673"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2014","2014-01","81.633"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2014","2014-02","82.646"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2014","2014-03","82.998"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2014","2014-04","84.139"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2014","2014-05","83.223"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2014","2014-06","83.327"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2014","2014-07","83.843"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2014","2014-08","84.169"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2014","2014-09","83.818"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2014","2014-10","84.317"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2014","2014-11","84.638"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2014","2014-12","84.023"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2015","2015-01","85.032"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2015","2015-02","85.901"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2015","2015-03","85.259"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2015","2015-04","85.749"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2015","2015-05","86.174"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2015","2015-06","85.737"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2015","2015-07","87.364"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2015","2015-08","86.57"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2015","2015-09","85.479"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2015","2015-10","86.057"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2015","2015-11","85.121"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2015","2015-12","85.602"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2016","2016-01","84.757"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2016","2016-02","85.351"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2016","2016-03","85.453"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2016","2016-04","85.737"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2016","2016-05","85.814"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2016","2016-06","84.663"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2016","2016-07","84.535"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2016","2016-08","84.829"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2016","2016-09","84.872"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2016","2016-10","83.986"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2016","2016-11","85.077"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2016","2016-12","84.08"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2017","2017-01","84.553"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2017","2017-02","85.72"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2017","2017-03","86.095"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2017","2017-04","86.376"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2017","2017-05","86.179"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2017","2017-06","85.527"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2017","2017-07","86.457"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2017","2017-08","86.048"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2017","2017-09","85.804"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2017","2017-10","85.662"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2017","2017-11","84.92"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2017","2017-12","85.53"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2018","2018-01","86.028"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2018","2018-02","85.613"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2018","2018-03","86.14"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2018","2018-04","86.12"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2018","2018-05","87.291"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2018","2018-06","86.9"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2018","2018-07","87.197"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2018","2018-08","87.22"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2018","2018-09","86.232"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2018","2018-10","85.09"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2018","2018-11","86.364"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2018","2018-12","87.394"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2019","2019-01","86.124"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2019","2019-02","85.785"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2019","2019-03","87.278"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2019","2019-04","86.277"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2019","2019-05","86.708"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2019","2019-06","87.151"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2019","2019-07","85.987"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2019","2019-08","85.57"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2019","2019-09","86.169"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2019","2019-10","87.242"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2019","2019-11","86.405"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2019","2019-12","86.482"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2020","2020-01","86.607"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2020","2020-02","86.54"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2020","2020-03","86.142"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2020","2020-04","85.187"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2020","2020-05","84.739"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2020","2020-06","84.682"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2020","2020-07","85.975"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2020","2020-08","85.434"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2020","2020-09","85.117"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2020","2020-10","84.882"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2020","2020-11","86.776"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2020","2020-12","85.34"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2021","2021-01","84.885"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2021","2021-02","85.247"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2021","2021-03","84.792"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2021","2021-04","85.856"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2021","2021-05","86.075"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2021","2021-06","87.007"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2021","2021-07","86.192"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2021","2021-08","87.486"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2021","2021-09","87.72"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2021","2021-10","88.697"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2021","2021-11","90.134"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2021","2021-12","92.43"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2022","2022-01","94.77"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2022","2022-02","96.69"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2022","2022-03","99.05"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2022","2022-04","104.28"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2022","2022-05","109.02"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2022","2022-06","107.18"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2022","2022-07","106.11"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2022","2022-08","107.89"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","září 2022","2022-09","106.15"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","říjen 2022","2022-10","107.3"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","listopad 2022","2022-11","107.18"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","prosinec 2022","2022-12","107.69"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","leden 2023","2023-01","108.21"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","únor 2023","2023-02","108.92"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","březen 2023","2023-03","108.28"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","duben 2023","2023-04","106.68"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","květen 2023","2023-05","107.62"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červen 2023","2023-06","106.26"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","červenec 2023","2023-07","105.82"
"Z  Mladý býk tř.j. SEU v JUT [kg]","627702","Česko","CZ","srpen 2023","2023-08","104.7"
